Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,BHR,Arable land (% of land area),AG.LND.ARBL.ZS,,"1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","1,4492753623","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8985507246","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,8169014085","2,3611111111","2,0547945205","2,027027027","1,9594594595","1,8666666667","1,5789473684","1,7894736842","2,0997375328","2,0860495437","2,0779220779","2,0779220779",,,
Bahamas,BHS,Arable land (% of land area),AG.LND.ARBL.ZS,,"0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,7992007992","0,7992007992","0,7992007992","0,7992007992","0,7992007992","0,7992007992","0,7992007992","0,7992007992","0,7992007992","0,5994005994","0,5994005994","0,5994005994","0,5994005994","0,5994005994","0,5994005994","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,6993006993","0,8991008991","0,8991008991","0,7992007992","0,7992007992","0,7992007992",,,
Bosnia and Herzegovina,BIH,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,6015625","16,6015625","16,6015625","16,6015625","17,578125","17,578125","18,5546875","18,5546875","19,53125","19,7265625","19,47265625","19,86328125","20,078125","20,01953125","20,05859375","19,9609375","19,6875","19,47265625","19,609375","19,62890625","19,58984375","19,7265625",,,
Belarus,BLR,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,9940840071","30,0926838888","30,6892131729","30,7237231315","30,7138631434","30,4427134687","30,5018733978","30,4772234273","30,2356537172","28,401695918","27,688211803","27,4564906572","27,3556530743","27,3233742543","27,3040906851","27,2005914243","27,1858058157","27,3345823883","27,2794480039","27,2485338327","27,2140357794","27,4673500567",,,
Belize,BLZ,Arable land (% of land area),AG.LND.ARBL.ZS,,"1,5782551512","1,5782551512","1,6220955721","1,6220955721","1,6220955721","1,665935993","1,665935993","1,665935993","1,7097764139","1,7097764139","1,7536168347","1,7536168347","1,7974572556","1,7974572556","1,8412976765","1,8412976765","1,8851380973","1,8851380973","1,8851380973","1,9728189391","2,0166593599","2,0166593599","2,0166593599","2,0166593599","1,8851380973","1,9289785182","2,1481806225","2,1920210434","2,2797018851","2,2797018851","2,3673827269","2,4550635686","2,6304252521","2,6304252521","2,7181060938","2,7619465147","2,8057869356","2,8057869356","2,8057869356","2,8057869356","2,8496273564","3,0688294608","3,0688294608","3,0688294608","3,0688294608","3,0688294608","3,0688294608","3,0688294608","3,2003507234","3,2880315651","3,2880315651","3,4195528277","3,4195528277",,,
Bermuda,BMU,Arable land (% of land area),AG.LND.ARBL.ZS,,8,6,6,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,,,
"Bolivia, Plurinational State of",BOL,Arable land (% of land area),AG.LND.ARBL.ZS,,"1,1944982923","1,1963445029","1,2037293455","1,2378842426","1,2692698237","1,3052709314","1,3366565125","1,3735807256","1,4095818333","1,4437367304","1,4686605742","1,5083541032","1,5489707376","1,5794332133","1,6172805317","1,6680513247","1,7031293271","1,7326686975","1,7631311733","1,793593649","1,8277485461","1,8628265485","1,8932890243","1,932059448","1,892365919","1,9015969722","1,9108280255","1,9200590787","1,929290132","1,9385211853","1,9477522385","1,9846764516","2,0308317179","2,1692975168","2,4000738484","2,4831533278","2,6511584972","2,7453152405","2,8339333518","2,9022431459","2,9077817779","3,0462475768","3,2437921167","3,3037939629","3,513338872","3,5641096649","3,6287270378","3,7201144651","3,8050401551","3,6638050402","3,6998061479","4,0182774855","4,0967414382",,,
Brazil,BRA,Arable land (% of land area),AG.LND.ARBL.ZS,,"2,6462825461","2,8714522609","3,1107399493","3,2303837935","3,3500276377","3,4696714819","3,5893153261","3,8286030145","3,9482468588","4,1875345472","4,4268222356","4,5464660798","4,666109924","4,9053976124","5,0250414566","5,1446853008","5,264329145","5,264329145","5,3720086048","5,3839729892","5,4557592957","5,6232606776","5,6232606776","5,635225062","5,6591538309","5,862548366","5,9223702881","5,9582634414","5,9702278258","6,0636696681","6,2212406109","6,1979100613","6,2530658735","6,3106145626","6,9464019507","6,922353538","6,9139784689","6,9055076847","6,9090491425","6,9125906003","7,067481521","7,358574994","7,7330602263","8,174904943","8,2742093337","8,3197936383","8,1822032175","8,4049800554","8,4277123858","8,4184998098","8,6470195522","8,6869805962","9,0939012747",,,
Barbados,BRB,Arable land (% of land area),AG.LND.ARBL.ZS,,"37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","37,2093023256","34,8837209302","34,8837209302","34,8837209302","32,5581395349","32,5581395349","30,2325581395","30,2325581395","30,2325581395","30,2325581395","30,2325581395","30,2325581395","27,9069767442","25,5813953488","25,5813953488","25,5813953488",,,
Brunei Darussalam,BRN,Arable land (% of land area),AG.LND.ARBL.ZS,,"0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,7590132827","1,1385199241","1,1385199241","1,1385199241","1,1385199241","1,1385199241","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,569259962","0,569259962","0,569259962","0,569259962","0,569259962","0,569259962","0,569259962","0,569259962","0,569259962","0,569259962","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,3795066414","0,569259962","0,569259962","0,7590132827","0,7590132827","0,7590132827","0,7590132827","0,9487666034",,,
