Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,BRA,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,"37,0666698335","41,7452360091","33,3290518036","38,6015717135","34,9528450124","33,5794188398","35,1243462818","33,850676477","36,4597235906","37,3615494772","38,3006306831","38,2037027452","38,4372900961","39,0040734584","40,0627054477","40,1737570568","39,7122790826","38,6445791983","40,1339118078","40,6371090186","43,8252222962","43,7193962388","45,5877065145","43,9519140309","45,7146892598","45,3126037969","45,1603782447","45,8801300268","43,6460639067","42,6709726984","38,69","36,1599223419","38,700003624","41,6100003389","40,0025872384","27,5258858151","25,5527588094","25,7088496707","25,1386994398","25,1128017513","26,7490589784","26,5865004436","26,3662658418","26,9642630091","28,6322595552","28,4720078011","27,6818800658","27,1206469592","27,3334965431","25,5888386469","27,3751900258","27,1910842537","26,0637605216","24,9374696492","23,9685440663","22,7365293163",
Barbados,BRB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,7036236417","17,3928074726","15,2490714958","14,6125731193","14,3567663391","14,6475878404","14,6198263934","15,7216396588","15,3010371523","14,9882482112","15,0018268978","14,398553969","14,1326419587","15,391513767","14,7878538053","14,6466914472","13,5606002958","13,4708415356","13,9709036718","13,1411360591","12,6775711046","12,4388607239","11,4296832054","10,2237450881","9,4882887466",,
Brunei Darussalam,BRN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,"90,5129577249","89,5177591684","90,4695543358","84,7686192865","80,6078999819","84,2039658198","84,8241358399","81,8472545937","79,6887841762","77,3150826573","73,4709053727","71,8109464288","58,8052028974","59,5080073782","52,2641648814","59,8026774554","61,5583341169","59,5727240031","60,399077036","57,2351341574","53,8283725773","54,2710089419","56,304123111","56,0453466373","51,5338510324","55,1845915096","63,6697733362","60,042447422","60,6620186278","64,147546201","67,8531689778","71,560338667","73,1764860802","71,3048189181","74,1130214385","65,4051872682","68,657035848","73,6729176501","72,6547073898","70,0251777905","67,7483291081","61,3623579705",
Bhutan,BTN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,"11,7464848304","17,4307425381","19,3545991002","21,4038988335","21,7796103162","19,7628811262","20,1137870246","26,1763683988","23,0706755316","23,8089472958","24,8528094833","25,7750166708","27,6749205142","29,5280291271","29,95683435","33,85699622","33,7629389125","33,7888336809","32,9020856028","35,6450901187","35,990577012","37,9083027324","38,6006531117","39,3652155796","37,7427560413","37,2892234173","38,9856347128","45,3756790151","44,5101213349","43,1681406218","44,5579029324","42,9666288197","44,2579997606","44,6812770942","42,8903830841","43,2124499453",
Botswana,BWA,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,"13,3741553859","12,2812829137","11,3128863156","10,5209925053","13,4443487607","19,2073170732","14,3631436314",,,,,,,,,"33,636175924","34,6108589679","35,7618771727","41,7980351839","48,6869031378","50,73957238","47,2842835131","49,195389801","53,9607877616","57,3205609731","61,205033685","62,3322164895","62,2476184283","65,5285620486","64,9498396059","61,0199256494","58,9357471312","55,7947934192","53,047564092","46,9779854503","46,4681854142","48,5869594074","49,1582728746","47,0943029319","48,7501716208","50,5273349445","48,5286113675","46,9829687476","43,2632513323","43,6027033054","47,6341041044","47,9872659946","46,5414512868","40,9927029349","32,0607625913","35,6557800984","40,247123459","34,3341081991","36,7020374234","38,7329353751","33,4062028827",
Central African Republic,CAF,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,"15,5172385057","21,7630798898","24,1379363395","27,427184466","27,7522872128","26,0683760684","26,9230823731","27,2727325479","26,8060836502","22,5037257824","22,9139588791","20,2569230011","19,6904505057","22,3082864207","22,5490211869","20,0630927485","18,908269177","13,0931950761","14,6776473842",15,"15,9204816374","13,5577541716","15,5105177569","16,982261401","19,3873344599","20,3576393042","21,2571007698","21,0680019069","21,9017528066","22,062841378","21,2256113811","16,6785493505","14,6021945337","14,4369589784","14,432515991","14,6287764806","14,3331585566","13,9830201585","13,6955507957","14,1054884664","14,2729444701","14,2577864542","14,3781274122","13,3682302721","13,704258658","13,806611237","13,8775985118","13,7998299741","16,8990253239","16,6425581854","16,4320999432",
Canada,CAN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,1458848165","31,6745404523","27,2208306317","28,5510628351","29,3752973834","28,883915697",,,,
Central Europe and the Baltics,CEB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,604339125","35,1397111049","35,1517525462","34,5074840723","33,5132876799","32,9561135038","32,6022369219","32,1807709687","32,2811809136","33,3446036548","33,5218044896","34,0802184646","34,0601130667","33,9545885969","33,2781310257","33,6461625697","34,1645659363","33,441618978","32,6047202492","33,191281277","33,5314890231",
Switzerland,CHE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,2646909482","30,9434501796","30,1417644378","29,667486391","30,5166127094","30,0081671119","28,8536582886","28,1225945074","27,4023768939","27,1273622661","26,3545378739","27,120775789","27,3063604351","26,8823698413","26,6658498717","26,7647515975","26,9733294416","26,8810990737","27,2003891366","26,1632490022","26,2569647094","26,6094612947","26,1714818096","26,0505891597","25,6711010962","25,5188327867",
Channel Islands,CHI,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
